9bd01201         U101201 CAN通讯异常 
9b501301         C101301 IG电源异常,IG-I/F故障 
9b501101         C101101 BAT电源异常,BAT-I/F故障 
9b501601         C101601 马达转动传感器异常,I/F故障 
9b501701         C101701 马达断线故障,ECU内部故障 
9b501401         C101401 扭矩传感器异常,扭矩传感器I/F故障 
9b501501         C101501 马达异常,ECU内部故障 
9b502801         C102801 ECU内部故障(升压电源异常) 
9b502201         C102201 ECU内部故障(监视系) 
9b502301         C102301 ECU内部故障(常时停止手段丧失系) 
9b502101         C102101 ECU内部故障(温度传感器系) 
9b502601         C102601 ECU内部故障(EEPROM(电可擦除只读存储器)通信异常)轻微 
9b502701         C102701 ECU内部故障(EEPROM(电可擦除只读存储器)通信异常)重大 
9b502401         C102401 ECU内部故障(其他) 
9b502501         C102501 ECU内部故障(MCU系) 
9b503101         C103101 过电流异常,驱动系异常,电流检出电路异常 
9af00316         U300316 电池电压过低 
9af00317         U300317 电池电压高 
9ac10087         U010087 和VCU通讯丢失 
9ac07388         U007388 总线关闭 
9a060545         P060545 Flash校验出错 
9a062f46         P062F46 EEPROM(电可擦除只读存储器)故障 
99d2b008         U12B008 通讯故障 
991a8a96         P1A8A96 内部中间电压欠压<10V 
991a8896         P1A8896 内部PFC过压 
991a8996         P1A8996 内部PFC欠压 
991a8c90         P1A8C90 单片机检测失败 
991a8294         P1A8294 输入欠压 
991a8394         P1A8394 输入过压 
991a8098         P1A8098 过温二级故障 
991a8198         P1A8198 过温三级故障 
991a8694         P1A8694 输出欠流 
991a8794         P1A8794 输出过流 
991a8494         P1A8494 输出过压 
991a8594         P1A8594 输出短路/欠压 
98944219         B144219 EAS 过流故障 
98944319         B144319 EAS 过温故障 
98944019         B144019 EAS 内部电压故障 
98944119         B144119 EAS 过压故障 
98944619         B144619 EAS 堵转故障 
98944419         B144419 EAS 内部功率管故障 
98944519         B144519 EAS 欠压故障 
9ff00316         U300316 蓄电池电压低故障 
9ff00317         U300317 蓄电池电压低故障 
9fc40186         U040186 VMS节点数据无效 
9fc10087         U010087 VMS节点通讯丢失 
9fc07388         U007388 BUS OFF 
9f060b04         P060B04 A/D 模块故障 
9f062f46         P062F46 EEPROM(电可擦除只读存储器) 故障 
9f112164         P112164 电机三相电流校验 
9f113064         P113064 扭矩命令和实际扭矩校验 
9f113119         P113119 软件过流 
9f113619         P113619 V相硬件过流 
9f113719         P113719 W相硬件过流 
9f113519         P113519 U相硬件过流 
9f114016         P114016 欠压报警/欠压故障 
9f114017         P114017 过压故障 
9f115070         P115070 超速故障 
9f116216         P116216 W相IGBT驱动报警 
9f116016         P116016 U相IGBT驱动报警 
9f116116         P116116 V相IGBT驱动报警 
9f117f98         P117F98 电机控制器过温故障 
9f117298         P117298 W相IGBT过温故障 
9f117098         P117098 U相IGBT过温故障 
9f117198         P117198 V相IGBT过温故障 
9f117598         P117598 电机过温故障 
9f118a28         P118A28 A相电流传感器零漂故障 
9f118a11         P118A11 A相电流传感器短路接地 
9f118a12         P118A12 A相电流传感器短路接电源 
9f118b28         P118B28 B相电流传感器零漂故障 
9f118b11         P118B11 B相电流传感器短路接地 
9f118b12         P118B12 B相电流传感器短路接电源 
9f118810         P118810 电机控制器温度传感器短路 
9f118813         P118813 电机控制器箱体温度传感器开路 
