警告：动作测试功能未编写 tip1 -- ad03   ##点击动作测试发激活
警告：动作测试功能未编写 tip2 -- ad03   ##点击动作测试是否发加密
警告：动作测试功能未编写 tip8 -- ad03 <name> BMS(电池管理系统)工作模式切换 
警告：动作测试功能未编写 tip8 -- a121 <name> 启动智能充电功能 
警告：动作测试功能未编写 tip8 -- a121 <name> 启动整车超低功耗功能 
警告：动作测试功能未编写 tip8 -- a121 <name> 启动故障报警功能 
警告：动作测试功能未编写 tip1 -- 1918
警告：动作测试功能未编写 tip2 -- 1918
警告：动作测试功能未编写 tip8 -- 1918 <name> 引擎音模拟器发声功能 
警告：动作测试功能未编写 tip8 -- a202 <name> 左前门锁 
警告：动作测试功能未编写 tip8 -- a202 <name> 乘客门锁 
警告：动作测试功能未编写 tip8 -- a202 <name> 四门锁 
警告：动作测试功能未编写 tip8 -- a202 <name> 背门锁 
警告：动作测试功能未编写 tip8 -- a202 <name> 后视镜折叠 
警告：动作测试功能未编写 tip8 -- a202 <name> 后视镜展开 
警告：动作测试功能未编写 tip8 -- a202 <name> 左前门灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 左后门灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 右前门灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 右后门灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 左转向灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 右转向灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 后雾灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 倒车指示灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 橙色指示灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 绿色指示灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 室内灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 照脚灯 
警告：动作测试功能未编写 tip8 -- a202 <name> ACC/ON状态灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 脚踏灯 
警告：动作测试功能未编写 tip8 -- a202 <name> IG1继电器 
警告：动作测试功能未编写 tip8 -- a202 <name> IG2继电器 
警告：动作测试功能未编写 tip8 -- a202 <name> P档解锁 
警告：动作测试功能未编写 tip8 -- a202 <name> 后雨刮控制 
警告：动作测试功能未编写 tip8 -- a202 <name> 转向轴锁继电器 
警告：动作测试功能未编写 tip8 -- a202 <name> 转向轴锁电源 
警告：动作测试功能未编写 tip8 -- a202 <name> ACC继电器 
警告：动作测试功能未编写 tip8 -- a202 <name> 预配电 
警告：动作测试功能未编写 tip8 -- a202 <name> 防盗指示灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 门锁状态指示灯B 
警告：动作测试功能未编写 tip8 -- a202 <name> 行李箱照明灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 紧急制动灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 充电口照明灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 充电继电器 
警告：动作测试功能未编写 tip8 -- a202 <name> 杂物箱照明灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 大灯洗涤继电器 
警告：动作测试功能未编写 tip8 -- a202 <name> 昼行灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 近光灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 副安全带扣灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 前雨刮速度继电器 
警告：动作测试功能未编写 tip8 -- a202 <name> 主安全带扣灯 
警告：动作测试功能未编写 tip8 -- a202 <name> 照脚灯非PWM(脉宽调制) 
警告：动作测试功能未编写 tip8 -- a205 <name> OCS状态 
警告：动作测试功能未编写 tip8 -- a207 <name> 前雨刮电机(预留) 
警告：动作测试功能未编写 tip8 -- a207 <name> 后雨刮电机 
警告：动作测试功能未编写 tip8 -- a207 <name> 前雨刮速度变化 
警告：动作测试功能未编写 tip8 -- a207 <name> 前洗涤电机 
警告：动作测试功能未编写 tip8 -- a207 <name> 后洗涤电机 
警告：动作测试功能未编写 tip8 -- a207 <name> 后除霜 
警告：动作测试功能未编写 tip8 -- a207 <name> 远光灯 
警告：动作测试功能未编写 tip8 -- a207 <name> 近光灯 
警告：动作测试功能未编写 tip8 -- a207 <name> 前雾灯 
警告：动作测试功能未编写 tip8 -- a207 <name> 小灯 
警告：动作测试功能未编写 tip8 -- a207 <name> 昼行灯 
警告：动作测试功能未编写 tip8 -- a207 <name> 喇叭 
警告：动作测试功能未编写 tip8 -- a207 <name> 报警 
警告：动作测试功能未编写 tip8 -- a20a <name> 驱动左前车窗电机 
警告：动作测试功能未编写 tip4 -- a20c <name> 主驾驶冷暖电机旋转 
警告：动作测试功能未编写 tip8 -- a20c <name> 主驾驶冷暖电机旋转 
警告：动作测试功能未编写 tip4 -- a20c <name> 出风模式电机旋转 
警告：动作测试功能未编写 tip8 -- a20c <name> 出风模式电机旋转 
警告：动作测试功能未编写 tip8 -- a20c <name> 新风循环电机旋转 
警告：动作测试功能未编写 tip4 -- a20c <name> 鼓风机电机电压 
警告：动作测试功能未编写 tip8 -- a20c <name> 鼓风机电机电压 
警告：动作测试功能未编写 tip8 -- a20c <name> 空调请求信号 
警告：动作测试功能未编写 tip4 -- a20c <name> 主驾驶冷暖电机旋转 
警告：动作测试功能未编写 tip8 -- a20c <name> 主驾驶冷暖电机旋转 
警告：动作测试功能未编写 tip8 -- a20c <name> 出风模式 
警告：动作测试功能未编写 tip4 -- a20c <name> 风速档位 
警告：动作测试功能未编写 tip8 -- a20c <name> 风速档位 
警告：动作测试功能未编写 tip4 -- a20c <name> 电动压缩机 
警告：动作测试功能未编写 tip8 -- a20c <name> 电动压缩机 
警告：动作测试功能未编写 tip8 -- a20c <name> 开启机械压缩机 
警告：动作测试功能未编写 tip8 -- a20e <name> 管柱角度调节操作 
警告：动作测试功能未编写 tip8 -- a20e <name> 管柱轴向调节操作 
警告：动作测试功能未编写 tip8 -- a20f <name> 外后视镜加热 
警告：动作测试功能未编写 tip8 -- a20f <name> 外后视镜折/展 
警告：动作测试功能未编写 tip8 -- a20f <name> 外后视镜左/右 
警告：动作测试功能未编写 tip8 -- a20f <name> 外后视镜上/下 
警告：动作测试功能未编写 tip8 -- a20f <name> 外后视镜照脚灯 
警告：动作测试功能未编写 tip8 -- a210 <name> 外后视镜加热 
警告：动作测试功能未编写 tip8 -- a210 <name> 外后视镜折/展 
警告：动作测试功能未编写 tip8 -- a210 <name> 外后视镜左/右 
警告：动作测试功能未编写 tip8 -- a210 <name> 外后视镜上/下 
警告：动作测试功能未编写 tip8 -- a210 <name> 外后视镜照脚灯 
警告：动作测试功能未编写 tip8 -- a211 <name> 座椅水平调节操作 
警告：动作测试功能未编写 tip8 -- a211 <name> 座椅高度调节操作 
警告：动作测试功能未编写 tip8 -- a211 <name> 座椅座盆调角操作 
警告：动作测试功能未编写 tip8 -- a211 <name> 座椅靠背倾斜操作 
警告：动作测试功能未编写 tip8 -- a211 <name> 蜂鸣器操作 
警告：动作测试功能未编写 tip8 -- a211 <name> 主驾座椅加热低温档 
警告：动作测试功能未编写 tip8 -- a211 <name> 主驾座椅加热高温档 
警告：动作测试功能未编写 tip8 -- a211 <name> 主驾座椅通风低速档 
警告：动作测试功能未编写 tip8 -- a211 <name> 主驾座椅通风高速档 
警告：动作测试功能未编写 tip8 -- a211 <name> 副驾座椅加热低温档 
警告：动作测试功能未编写 tip8 -- a211 <name> 副驾座椅加热高温档 
警告：动作测试功能未编写 tip8 -- a211 <name> 副驾座椅通风低速档 
警告：动作测试功能未编写 tip8 -- a211 <name> 副驾座椅通风高速档 
警告：动作测试功能未编写 tip8 -- a213 <name> 音量增 
警告：动作测试功能未编写 tip8 -- a213 <name> 音量减 
警告：动作测试功能未编写 tip8 -- a213 <name> 上一频道 
警告：动作测试功能未编写 tip8 -- a213 <name> 下一频道 
警告：动作测试功能未编写 tip8 -- a213 <name> 音响控制 
警告：动作测试功能未编写 tip8 -- a213 <name> 蓝牙 
警告：动作测试功能未编写 tip8 -- a213 <name> 仪表确定 
警告：动作测试功能未编写 tip8 -- a213 <name> 上翻页 
警告：动作测试功能未编写 tip8 -- a213 <name> 下翻页 
警告：动作测试功能未编写 tip8 -- a213 <name> 语音控制 
警告：动作测试功能未编写 tip8 -- a213 <name> 前影像 
警告：动作测试功能未编写 tip8 -- a213 <name> 后影像 
警告：动作测试功能未编写 tip8 -- a213 <name> 左影像 
警告：动作测试功能未编写 tip8 -- a213 <name> 右影像 
警告：动作测试功能未编写 tip8 -- a213 <name> 全景影像 
警告：动作测试功能未编写 tip8 -- a213 <name> 多媒体菜单返回 
警告：动作测试功能未编写 tip8 -- a214 <name> 静音开关 
警告：动作测试功能未编写 tip8 -- a214 <name> 音量增调节开关 
警告：动作测试功能未编写 tip8 -- a214 <name> 音量减调节开关 
警告：动作测试功能未编写 tip8 -- a214 <name> 搜索+ 
警告：动作测试功能未编写 tip8 -- a214 <name> 搜索- 
警告：动作测试功能未编写 tip8 -- a214 <name> 音响控制 
警告：动作测试功能未编写 tip8 -- a214 <name> 温度调节增 
警告：动作测试功能未编写 tip8 -- a214 <name> 温度调节减 
警告：动作测试功能未编写 tip8 -- a214 <name> 空调自动模式开关 
警告：动作测试功能未编写 tip8 -- a214 <name> 空调关闭开关 
警告：动作测试功能未编写 tip8 -- a32a <name> 发动机故障(MIL)指示灯控制 
警告：动作测试功能未编写 tip7 -- a32a <name> 碳罐控制阀控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 碳罐控制阀控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 燃油泵控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 冷却风扇#1(低速风扇)控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 冷却风扇#2(高速风扇)控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 车辆立即维修(SVS)指示灯控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 禁用燃油喷射控制 
警告：动作测试功能未编写 tip7 -- a32a <name> 怠速转速控制-短期调整 
警告：动作测试功能未编写 tip8 -- a32a <name> 怠速转速控制-短期调整 
警告：动作测试功能未编写 tip7 -- a32a <name> 怠速转速控制-长期调整 
警告：动作测试功能未编写 tip8 -- a32a <name> 怠速转速控制-长期调整 
警告：动作测试功能未编写 tip8 -- a32a <name> 制动真空泵控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 冷却液循环泵控制 
警告：动作测试功能未编写 tip8 -- a32a <name> 涡轮增压旁通阀控制 
