ffff0104         0b08ffff0227210000000000
ffff0105         0b08ffff0427220000000000
ffff0102         0b08ffff0427020000000000
ffff0103         0b08ffff0627020000000000
ffff0101         0b08ffff0227010000000000
ffff0002         0682ffff108300
ffff0003         0b08ffff0210010000000000
ffff0001         0b08ffff0210030000000000
ffffff04         0b0800000322002000000000
ffffff02         18080000142ef190ffffffffffffffffffffffffffffffffff
ffffff03         18080000142ef102ffffffffffffffffffffffffffffffffff
ffffff01         0b0800000322f19000000000
ffffff12         179300003b90202020202020202020202020202020202011
ffffff11         068200001a906d
001b0004         1000000200020908032217040000000009083000000000000000
001b0005         1000000200020908032217050000000009083000000000000000
001b0002         1000000200020908032217020000000009083000000000000000
001b0003         1000000200020908032217030000000009083000000000000000
001b0001         1000000200020908032217010000000009083000000000000000
00140006         1000000200020908032205250000000009083000000000000000
00140007         1000000200020908032205260000000009083000000000000000
00140004         1000000200020908032205230000000009083000000000000000
00140005         1000000200020908032205240000000009083000000000000000
00140002         1000000200020908032205210000000009083000000000000000
00140003         1000000200020908032205220000000009083000000000000000
00140001         10000002000209080322052d0000000009083000000000000000
0014000c         10000002000209080322052b0000000009083000000000000000
0014000d         10000002000209080322052c0000000009083000000000000000
0014000a         1000000200020908032205290000000009083000000000000000
0014000b         10000002000209080322052a0000000009083000000000000000
00140008         1000000200020908032205270000000009083000000000000000
00140009         1000000200020908032205280000000009083000000000000000
00170006         1000000200020908032215020000000009083000000000000000
00170007         1000000200020908032215030000000009083000000000000000
00170004         1000000200020908032215000000000009083000000000000000
00170005         1000000200020908032215010000000009083000000000000000
00170002         10000002000209080322f1920000000009083000000000000000
00170003         10000002000209080322f1970000000009083000000000000000
00170001         10000002000209080322f1000000000009083000000000000000
0017000e         1000000200020908032215100000000009083000000000000000
0017000f         1000000200020908032215110000000009083000000000000000
0017000c         1000000200020908032215080000000009083000000000000000
0017000d         1000000200020908032215090000000009083000000000000000
0017000a         1000000200020908032215060000000009083000000000000000
0017000b         1000000200020908032215070000000009083000000000000000
00170008         1000000200020908032215040000000009083000000000000000
00170009         1000000200020908032215050000000009083000000000000000
00170016         0908e2a0052f5b320301
00170017         0808e2a0042f5b3200
00170014         0808e2a0042f5b3000
00170015         0908e2a0052f5b320300
00170012         0908e2a0052f5b300301
00170013         0908e2a0052f5b300302
00170010         10000002000209080322f1860000000009083000000000000000
00170011         0908e2a0052f5b300300
0017001e         0808e2a0042f5b3400
0017001c         0908e2a0052f5b340300
0017001d         0908e2a0052f5b340301
0017001a         0908e2a0052f5b330302
0017001b         0808e2a0042f5b3300
00170018         0908e2a0052f5b330300
00170019         0908e2a0052f5b330301
000d0004         100000020002090803220a030000000009083000000000000000
000d0005         100000020002090803220a040000000009083000000000000000
000d0002         100000020002090803220a010000000009083000000000000000
000d0003         100000020002090803220a020000000009083000000000000000
000d0001         100000020002090803220a000000000009083000000000000000
