ffffff11         068200001a906d
ffffff12         179300003b90202020202020202020202020202020202011
ffffff04         0b0800000322002000000000
ffffff01         0b0800000322f19000000000
ffffff02         18080000142ef190ffffffffffffffffffffffffffffffffff
ffffff03         18080000142ef102ffffffffffffffffffffffffffffffffff
ffff0001         0b08ffff0210030000000000
ffff0002         0682ffff108300
ffff0003         0b08ffff0210010000000000
ffff0104         0b08ffff0227210000000000
ffff0105         0b08ffff0427220000000000
ffff0101         0b08ffff0227010000000000
ffff0102         0b08ffff0427020000000000
ffff0103         0b08ffff0627020000000000
00800004         10000002000209080322f1f60000000009083000000000000000
00800005         10000002000209080322f1f70000000009083000000000000000
00800006         10000002000209080322f1f40000000009083000000000000000
00800001         10000002000209080322f1f10000000009083000000000000000
00800002         10000002000209080322f1f20000000009083000000000000000
00800003         10000002000209080322f1f50000000009083000000000000000
00140001         1000000200020908032201600000000009083000000000000000
00130001         1000000200020908032204860000000009083000000000000000
00130002         1000000200020908032204870000000009083000000000000000
00120004         1000000200020908032204830000000009083000000000000000
00120005         1000000200020908032204840000000009083000000000000000
00120006         1000000200020908032204850000000009083000000000000000
00120001         1000000200020908032204800000000009083000000000000000
00120002         1000000200020908032204810000000009083000000000000000
00120003         1000000200020908032204820000000009083000000000000000
00110010         10000002000209080322f1ef0000000009083000000000000000
00110011         10000002000209080322fa130000000009083000000000000000
00110012         10000002000209080322fa140000000009083000000000000000
00110013         10000002000209080322fa150000000009083000000000000000
00110004         10000002000209080322f1900000000009083000000000000000
00110005         10000002000209080322f1870000000009083000000000000000
00110006         10000002000209080322f18a0000000009083000000000000000
00110007         10000002000209080322f18b0000000009083000000000000000
00110001         1000000200020908021001000000000009083000000000000000
00110002         1000000200020908031902090000000009083000000000000000
00110003         10000002000209080414ffffff00000009083000000000000000
0011000c         10000002000209080322f1800000000009083000000000000000
0011000d         10000002000209080322f1990000000009083000000000000000
0011000e         10000002000209080322ff000000000009083000000000000000
0011000f         10000002000209080322f1840000000009083000000000000000
00110008         10000002000209080322f1500000000009083000000000000000
00110009         10000002000209080322f1890000000009083000000000000000
0011000a         10000002000209080322f1880000000009083000000000000000
0011000b         10000002000209080322f1970000000009083000000000000000
00100004         1000000200020908032220450000000009083000000000000000
00100005         1000000200020908032220500000000009083000000000000000
00100001         1000000200020908032220510000000009083000000000000000
00100002         1000000200020908032220520000000009083000000000000000
00100003         1000000200020908032220400000000009083000000000000000
00070014         0908e460052ff0530301
00070015         0808e460042ff05300
00070016         0908e460052ff0540300
00070017         0808e460042ff05400
00070010         0908e460052ff0520301
00070011         0908e460052ff0520300
00070012         0808e460042ff05200
00070013         0908e460052ff0530300
0007001c         0808e460042ff05600
0007001d         0908e460052ff0570301
0007001e         0908e460052ff0570300
0007001f         0808e460042ff05700
00070018         0908e460052ff0550300
00070019         0808e460042ff05500
0007001a         0908e460052ff0560300
0007001b         0908e460052ff0560301
00070004         100000020002090803220da60000000009083000000000000000
00070005         100000020002090803220da70000000009083000000000000000
00070006         100000020002090803220da80000000009083000000000000000
00070007         100000020002090803220da90000000009083000000000000000
00070001         10000002000209080322f1300000000009083000000000000000
00070002         10000002000209080322f1310000000009083000000000000000
00070003         10000002000209080322f1320000000009083000000000000000
0007000c         0908e460052ff0510301
0007000d         0908e460052ff0510302
0007000e         0908e460052ff0510300
0007000f         0808e460042ff05100
00070008         100000020002090803220da00000000009083000000000000000
00070009         0908e460052ff0500301
0007000a         0908e460052ff0500300
0007000b         0808e460042ff05000
00070034         0808e460042ff05e00
00070035         0908e460052ff05f0301
00070036         0908e460052ff05f0300
00070037         0808e460042ff05f00
00070030         0908e460052ff05d0300
00070031         0808e460042ff05d00
00070032         0908e460052ff05e0301
00070033         0908e460052ff05e0300
0007003c         0908e460052ff0610300
0007003d         0808e460042ff06100
0007003e         0908e460052ff0620301
0007003f         0908e460052ff0620300
00070038         0908e460052ff0600301
00070039         0908e460052ff0600300
0007003a         0808e460042ff06000
0007003b         0908e460052ff0610301
00070024         0908e460052ff0590300
00070025         0808e460042ff05900
00070026         0908e460052ff05a0301
00070027         0908e460052ff05a0300
00070020         0908e460052ff0580301
00070021         0908e460052ff0580300
00070022         0808e460042ff05800
00070023         0908e460052ff0590301
0007002c         0908e460052ff05c0301
0007002d         0908e460052ff05c0300
0007002e         0808e460042ff05c00
0007002f         0908e460052ff05d0301
00070028         0808e460042ff05a00
00070029         0908e460052ff05b0301
0007002a         0908e460052ff05b0300
0007002b         0808e460042ff05b00
00070040         0808e460042ff06200
00070041         0908e460052ff0630301
00070042         0908e460052ff0630300
00070043         0808e460042ff06300
00060014         1000000200020908032202750000000009083000000000000000
00060015         1000000200020908032202760000000009083000000000000000
00060016         1000000200020908032202770000000009083000000000000000
00060017         1000000200020908032202780000000009083000000000000000
00060010         1000000200020908032202710000000009083000000000000000
00060011         1000000200020908032202720000000009083000000000000000
00060012         1000000200020908032202730000000009083000000000000000
00060013         1000000200020908032202740000000009083000000000000000
0006001c         10000002000209080322027d0000000009083000000000000000
0006001d         10000002000209080322027e0000000009083000000000000000
0006001e         10000002000209080322027f0000000009083000000000000000
0006001f         1000000200020908032202800000000009083000000000000000
00060018         1000000200020908032202790000000009083000000000000000
00060019         10000002000209080322027a0000000009083000000000000000
0006001a         10000002000209080322027b0000000009083000000000000000
0006001b         10000002000209080322027c0000000009083000000000000000
00060004         10000002000209080322f1970000000009083000000000000000
00060005         10000002000209080322f1830000000009083000000000000000
00060006         10000002000209080322f1840000000009083000000000000000
00060007         10000002000209080322f19b0000000009083000000000000000
00060001         10000002000209080322f18a0000000009083000000000000000
00060002         10000002000209080322f1880000000009083000000000000000
00060003         10000002000209080322f1910000000009083000000000000000
0006000c         1000000200020908032203110000000009083000000000000000
0006000d         1000000200020908032202ff0000000009083000000000000000
