65720004         01010000000081591f3e7a
65720005         02024000000081591f1800
65720006         02024000000081591f1400
65720007         02024000000082591f1a8b00
65720001         020140000001191981591f817a
65720002         0101800003e881591f3e7a
65720003         02024000000081591f824c
65710004         10000002000209080322f1900000000009083000000000000000
65710001         10000001000009080210010000000000
65710002         010280ff07d00908023e000000000000
65710003         0102000000000908023e000000000000
65714101         0808e400043101c061
6562000c         10000002000209080322f1950000000009083000140000000000
6562000d         10000002000209080322f19d0000000009083000140000000000
6562000e         1000000200020908032202000000000009083000140000000000
6562000f         1000000200020908032202010000000009083000140000000000
65620008         10000002000209080322f1870000000009083000140000000000
65620009         10000002000209080322f18a0000000009083000140000000000
6562000a         10000002000209080322f1900000000009083000140000000000
6562000b         10000002000209080322f1930000000009083000140000000000
65620004         1000000200020908031902010000000009083000140000000000
65620005         1000000200020908031902080000000009083000140000000000
65620006         10000002000209080414ffffff00000009083000140000000000
65620007         10000002000209080322f1840000000009083000140000000000
65620001         10000001000009080210010000000000
65620002         010280ff07d00908023e000000000000
65620003         0102000000000908023e000000000000
65620014         1000000200020908032202060000000009083000140000000000
65620015         1000000200020908032202070000000009083000140000000000
65620016         1000000200020908032202080000000009083000140000000000
65620010         1000000200020908032202020000000009083000140000000000
65620011         1000000200020908032202030000000009083000140000000000
65620012         1000000200020908032202040000000009083000140000000000
65620013         1000000200020908032202050000000009083000140000000000
6561000c         10000002000209080322f19d0000000009083000140000000000
6561000d         10000002000209080322f1900000000009083000140000000000
6561000e         10000002000209080322f1950000000009083000140000000000
6561000f         10000002000209080322f1010000000009083000140000000000
65610008         10000002000209080322f1940000000009083000140000000000
65610009         10000002000209080322f18c0000000009083000140000000000
6561000a         10000002000209080322f1800000000009083000140000000000
6561000b         10000002000209080322f18b0000000009083000140000000000
65610004         1000000200020908031902090000000009083000140000000000
65610005         1000000200020908031902080000000009083000140000000000
65610006         10000002000209080414ffffff00000009083000140000000000
65610007         10000002000209080322f1860000000009083000140000000000
65610001         10000001000009080210010000000000
65610002         010280ff07d00908023e000000000000
65610003         0102000000000908023e000000000000
6561001c         10000002000209080322f10e0000000009083000140000000000
6561001d         10000002000209080322f10f0000000009083000140000000000
6561001e         10000002000209080322f1100000000009083000140000000000
6561001f         10000002000209080322f1110000000009083000140000000000
65610018         10000002000209080322f10a0000000009083000140000000000
65610019         10000002000209080322f10b0000000009083000140000000000
6561001a         10000002000209080322f10c0000000009083000140000000000
6561001b         10000002000209080322f10d0000000009083000140000000000
65610014         10000002000209080322f1060000000009083000140000000000
65610015         10000002000209080322f1070000000009083000140000000000
65610016         10000002000209080322f1080000000009083000140000000000
65610017         10000002000209080322f1090000000009083000140000000000
65610010         10000002000209080322f1020000000009083000140000000000
65610011         10000002000209080322f1030000000009083000140000000000
65610012         10000002000209080322f1040000000009083000140000000000
65610013         10000002000209080322f1050000000009083000140000000000
6561002c         10000002000209080322f11e0000000009083000140000000000
6561002d         0808f020042f000103
6561002e         0808f020042f000102
6561002f         0808f020042f00010c
65610028         10000002000209080322f11a0000000009083000140000000000
65610029         10000002000209080322f11b0000000009083000140000000000
6561002a         10000002000209080322f11c0000000009083000140000000000
6561002b         10000002000209080322f11d0000000009083000140000000000
65610024         10000002000209080322f1160000000009083000140000000000
65610025         10000002000209080322f1170000000009083000140000000000
65610026         10000002000209080322f1180000000009083000140000000000
65610027         10000002000209080322f1190000000009083000140000000000
65610020         10000002000209080322f1120000000009083000140000000000
65610021         10000002000209080322f1130000000009083000140000000000
65610022         10000002000209080322f1140000000009083000140000000000
65610023         10000002000209080322f1150000000009083000140000000000
65610034         0808f020042f000180
65610030         0808f020042f000108
65610031         0808f020042f000130
65610032         0808f020042f000120
65610033         0808f020042f0001c0
6564000c         10000002000209080322f19d0000000009083000140000000000
6564000d         1000000200020908032203010000000009083000140000000000
6564000e         1000000200020908032203020000000009083000140000000000
6564000f         1000000200020908032203030000000009083000140000000000
65640008         10000002000209080322f1950000000009083000140000000000
65640009         10000002000209080322f1900000000009083000140000000000
6564000a         10000002000209080322f18a0000000009083000140000000000
6564000b         10000002000209080322f1870000000009083000140000000000
65640004         1000000200020908031902090000000009083000140000000000
65640005         1000000200020908031902080000000009083000140000000000
65640006         10000002000209080414ffffff00000009083000140000000000
65640007         10000002000209080322f1930000000009083000140000000000
65640001         10000001000009080210010000000000
65640002         010280ff07d00908023e000000000000
65640003         0102000000000908023e000000000000
6564001c         1000000200020908032203160000000009083000140000000000
6564001d         1000000200020908032203170000000009083000140000000000
6564001e         1000000200020908032203180000000009083000140000000000
6564001f         1000000200020908032203190000000009083000140000000000
65640018         1000000200020908032203120000000009083000140000000000
65640019         1000000200020908032203130000000009083000140000000000
6564001a         1000000200020908032203140000000009083000140000000000
6564001b         1000000200020908032203150000000009083000140000000000
65640014         1000000200020908032203080000000009083000140000000000
65640015         1000000200020908032203090000000009083000140000000000
65640016         1000000200020908032203100000000009083000140000000000
65640017         1000000200020908032203110000000009083000140000000000
65640010         1000000200020908032203040000000009083000140000000000
65640011         1000000200020908032203050000000009083000140000000000
65640012         1000000200020908032203060000000009083000140000000000
65640013         1000000200020908032203070000000009083000140000000000
65640024         0a08f000062f03f103ff04
65640025         0a08f000062f03f103ff02
65640026         0a08f000062f03f103ff01
65640020         1000000200020908032203200000000009083000140000000000
65640021         0a08f000062f03f103ff10
65640022         0a08f000062f03f100ff80
65640023         0a08f000062f03f103ff08
6565000c         10000002000209080322f18b0000000009083000140000000000
6565000d         10000002000209080322f18c0000000009083000140000000000
6565000e         10000002000209080322f1900000000009083000140000000000
6565000f         10000002000209080322f1920000000009083000140000000000
65650008         10000002000209080322f1870000000009083000140000000000
65650009         10000002000209080322f1880000000009083000140000000000
6565000a         10000002000209080322f1890000000009083000140000000000
6565000b         10000002000209080322f18a0000000009083000140000000000
65650004         1000000200020908031902090000000009083000140000000000
65650005         1000000200020908031902080000000009083000140000000000
65650006         10000002000209080414ffffff00000009083000140000000000
65650007         10000002000209080322f1860000000009083000140000000000
65650001         10000001000009080210010000000000
65650002         010280ff07d00908023e000000000000
65650003         0102000000000908023e000000000000
65650014         10000002000209080322f1a20000000009083000140000000000
65650015         1000000200020908032226000000000009083000140000000000
65650010         10000002000209080322f1930000000009083000140000000000
65650011         10000002000209080322f1940000000009083000140000000000
65650012         10000002000209080322f1950000000009083000140000000000
65650013         10000002000209080322f19d0000000009083000140000000000
65654501         0808e6600431012600
65654400         0708e6600322f1a2
65654401         0b08e660072ef1a200000000
6552000c         10000002000209080322f1950000000009083000140000000000
6552000d         10000002000209080322f19d0000000009083000140000000000
6552000e         1000000200020908032202000000000009083000140000000000
6552000f         1000000200020908032202010000000009083000140000000000
65520008         10000002000209080322f1870000000009083000140000000000
65520009         10000002000209080322f18a0000000009083000140000000000
6552000a         10000002000209080322f1900000000009083000140000000000
6552000b         10000002000209080322f1930000000009083000140000000000
65520004         1000000200020908031902010000000009083000140000000000
65520005         1000000200020908031902080000000009083000140000000000
65520006         10000002000209080414ffffff00000009083000140000000000
65520007         10000002000209080322f1840000000009083000140000000000
65520001         10000001000009080210010000000000
65520002         010280ff07d00908023e000000000000
65520003         0102000000000908023e000000000000
65520014         1000000200020908032202060000000009083000140000000000
65520015         1000000200020908032202070000000009083000140000000000
65520016         1000000200020908032202080000000009083000140000000000
65520010         1000000200020908032202020000000009083000140000000000
65520011         1000000200020908032202030000000009083000140000000000
65520012         1000000200020908032202040000000009083000140000000000
65520013         1000000200020908032202050000000009083000140000000000
65524400         0708f0400322f184
65524401         1108f0400d2ef18400000000000000000000
6551000c         10000002000209080322f19d0000000009083000140000000000
6551000d         10000002000209080322f1900000000009083000140000000000
6551000e         10000002000209080322f1950000000009083000140000000000
6551000f         10000002000209080322f1010000000009083000140000000000
65510008         10000002000209080322f1940000000009083000140000000000
65510009         10000002000209080322f18c0000000009083000140000000000
6551000a         10000002000209080322f1800000000009083000140000000000
6551000b         10000002000209080322f18b0000000009083000140000000000
65510004         1000000200020908031902090000000009083000140000000000
65510005         1000000200020908031902080000000009083000140000000000
65510006         10000002000209080414ffffff00000009083000140000000000
65510007         10000002000209080322f1860000000009083000140000000000
65510001         10000001000009080210010000000000
65510002         010280ff07d00908023e000000000000
65510003         0102000000000908023e000000000000
6551001c         10000002000209080322f10e0000000009083000140000000000
6551001d         10000002000209080322f10f0000000009083000140000000000
6551001e         10000002000209080322f1100000000009083000140000000000
6551001f         10000002000209080322f1110000000009083000140000000000
65510018         10000002000209080322f10a0000000009083000140000000000
65510019         10000002000209080322f10b0000000009083000140000000000
6551001a         10000002000209080322f10c0000000009083000140000000000
6551001b         10000002000209080322f10d0000000009083000140000000000
65510014         10000002000209080322f1060000000009083000140000000000
65510015         10000002000209080322f1070000000009083000140000000000
