0000112b         052fe9060300
0000112a         052fe90603ff
00001129         062fe002030028
00001128         062fe004030000
0000112f         052fe1230303
0000112e         052fe1230304
0000112d         052fe3800301
0000112c         052fe7000301
00001123         062fe012030028
00001122         062fe01203007d
00001121         062fe0250301f4
00001120         062fe0250303e8
00001127         062fe004030001
00001126         062fe0100301f4
00001125         062fe0100303e8
00001124         062fe010037d00
0000113b         052fe11c0300
0000113a         052fe1220300
00001139         052fe1220301
00001138         052fe1220302
0000113f         052fe1130330
0000113e         052fe1130340
0000113d         052fe1130350
0000113c         052fe1130380
00001133         052fe1220307
00001132         052fe1230300
00001131         052fe1230301
00001130         052fe1230302
00001137         052fe1220303
00001136         052fe1220304
00001135         052fe1220305
00001134         052fe1220306
0000110b         062fe113032040
0000110a         062fe113032295
00001109         062fe113032550
00001108         062fe115030255
0000110f         062fe113031020
0000110e         062fe113031275
0000110d         062fe113031530
0000110c         062fe113031785
00001103         062fe115031530
00001102         062fe115031785
00001101         062fe115032040
00001100         062fe115032295
00001107         062fe115030510
00001106         062fe115030765
00001105         062fe115031020
00001104         062fe115031275
0000111b         062fe111030001
0000111a         062fe111030002
00001119         062fe111030003
00001118         062fe111030004
0000111f         062fe107030010
0000111e         062fe107030020
0000111d         062fe107030030
0000111c         062fe107030040
00001113         062fe111030009
00001112         062fe113030255
00001111         062fe113030510
00001110         062fe113030765
00001117         062fe111030005
00001116         062fe111030006
00001115         062fe111030007
00001114         062fe111030008
0000116b         052fe0070302
0000116a         052fe0070303
00001169         052fe0070304
00001168         052fe0070305
0000116f         052fe0000364
0000116e         052fe0030301
0000116d         052fe0050364
0000116c         052fe0070301
00001163         052fe01e0300
00001162         052fe01e0301
00001161         052fe01e0302
00001160         052fe01e0303
00001167         052fe0070306
00001166         052fe0070307
00001165         052fe00b0300
00001164         052fe00b0301
00001172         052f615b034b
00001171         052f615b0396
00001170         052f615b03e1
0000114b         052fe1050364
0000114a         052fe1060304
00001149         052fe1060308
00001148         052fe1060310
0000114f         052fe0380301
0000114e         052fe1030332
0000114d         052fe1030364
0000114c         052fe1050332
00001143         052fe10f0301
00001142         052fe10f0302
00001141         052fe1130310
00001140         052fe1130320
00001147         052fe1060320
00001146         052fe1060340
00001145         052fe1060380
00001144         052fe10f0300
0000115b         052fe02e0300
0000115a         052fe02e0301
00001159         052fe02f0300
00001158         052fe02f0301
0000115f         052fe02c0314
0000115e         052fe02c0328
0000115d         052fe02c0350
0000115c         052fe02c03a0
00001153         052fe0330301
00001152         052fe0350301
00001151         052fe0360301
00001150         052fe0370301
00001157         052fe0300300
00001156         052fe0300301
00001155         052fe0310301
00001154         052fe0320301
0000102b         0a03000000000000000300
0000102a         0a02000000000000000200
00001029         0a01000000000000000100
00001028         0a00800000000000000080
0000102f         0a07000000000000000700
0000102e         0a06000000000000000600
0000102d         0a05000000000000000500
