10040001         10000001000009080210010000000000
10040002         1000000200020908031902010000000009083000000000000000
10040003         1000000200020908031902080000000009083000000000000000
10040004         10000002000209080322f1890000000009083000000000000000
10040005         10000002000209080322f0890000000009083000000000000000
10040006         10000002000209080322f18a0000000009083000000000000000
10040007         10000002000209080322f1970000000009083000000000000000
10040008         10000002000209080322f18c0000000009083000000000000000
10040009         10000002000209080322f1930000000009083000000000000000
1004000a         10000002000209080322f1840000000009083000000000000000
1004000b         1000000200020908032205990000000009083000000000000000
1004000c         1000000200020908032205870000000009083000000000000000
1004000d         1000000200020908032205880000000009083000000000000000
1004000e         1000000200020908032205890000000009083000000000000000
1004000f         1000000200020908032205920000000009083000000000000000
10040010         1000000200020908032205930000000009083000000000000000
10040011         1000000200020908032205970000000009083000000000000000
10040501         0708e8400322f190
10040502         1808e840142ef1900000000000000000000000000000000000
10040503         0808e4600431015502
10040504         0808e4600431035502
10040505         0808e4600431015500
10040506         0808e4600431035500
10030001         02014000000119198128f18100
10030002         0202400000008028f102108300
10030003         0101800003e88028f1013e00
10030004         0202400000008028f1012000
10030005         0202400000008028f1018200
10030006         0101000000008028f1013e00
10030007         0202400000008028f1041801000000
10030008         0202400000008028f10314000000
10030009         0202400000008028f1021a8000
1003000a         0202400000008028f102210100
1003000b         0202400000008028f102210200
1003000c         0202400000008028f102210300
1003000d         0202400000008028f102210400
1003000e         0202400000008028f102210500
1003000f         0202400000008028f102210600
10030010         0202400000008028f102210700
10030011         078028f102300200
10030012         078028f102300300
10030013         078028f102300400
10030014         078028f102300500
10030015         078028f102300600
10030016         078028f102300700
10030017         078028f102300800
10030018         078028f102300900
10030019         078028f102300a00
1003001a         078028f102300b00
1003001b         078028f102300c00
10030602         068028f10120a3
10030603         068028f1018204
10030604         068028f1018103
10030605         078028f102108315
10030606         068028f1013e00
10030611         068028f1011195
10020101         0b08e040031902ab00000000
10020102         0b08e0400619044001040100
10020001         10000001000009080210030000000000
10020002         1000000200020908031902ab0000000009083000000000000000
10020003         1000000200020908061904400104010009083000000000000000
10020004         10000002000209080414ffffff00000009083000000000000000
10020005         10000002000209080322f1900000000009083000000000000000
10020006         10000002000209080322f1870000000009083000000000000000
10020007         10000002000209080322f1950000000009083000000000000000
10020008         10000002000209080322f1860000000009083000000000000000
10020009         10000002000209080322fd000000000009083000000000000000
1002000a         10000002000209080322fd010000000009083000000000000000
1002000b         10000002000209080322fd020000000009083000000000000000
1002000c         10000002000209080322fd030000000009083000000000000000
1002000d         10000002000209080322fd040000000009083000000000000000
1002000e         10000002000209080322fd050000000009083000000000000000
10020601         0808e040043101f105
10020602         0808e040043103f105
10020603         0808e040043101f106
10020604         0808e040043103f106
10020605         0808e0400414ffffff
10020606         0608e040021101
10020607         0608e040021103
10020501         0b08e0400210030000000000
10020502         0b08e040053101f103000000
10020503         0b08e040053101f103010000
10024001         0608e040021003
10024002         0b08e040053101f002010000
10024003         0b08e040053101f002020000
10024004         0b08e040053101f002030000
10024005         0b08e040053101f002040000
10024006         0b08e040053103f002010000
10024007         0b08e040053103f002020000
10024008         0b08e040053103f002030000
10024009         0b08e040053103f002040000
1002400a         0608e040021001
10010001         10000001000009080103000000000000
10010002         0102a0ff07d00908023e000000000000
10010003         0102000000000908023e000000000000
10010004         10000002000209080103000000000000090830010e0000000000
10010005         10000002000209080107000000000000090830010e0000000000
10010006         10000002000209080104000000000000090830010e0000000000
10010007         10000002000209080209080000000000090830010e0000000000
10010008         10000002000209080209020000000000090830010e0000000000
10010009         10000002000209080201010000000000090830010e0000000000
1001000a         100000020002090802010d0000000000090830010e0000000000
1001000b         10000002000209080201210000000000090830010e0000000000
1001000c         100000020002090802015a0000000000090830010e0000000000
1001000d         10000002000209080201a10000000000090830010e0000000000
1001000e         10000002000209080201a20000000000090830010e0000000000
1001000f         10000002000209080201a30000000000090830010e0000000000
10010010         10000002000209080201a40000000000090830010e0000000000
10010011         10000002000209080201a50000000000090830010e0000000000
10010012         10000002000209080201a60000000000090830010e0000000000
10010013         10000002000209080201a70000000000090830010e0000000000
10010014         10000002000209080201a80000000000090830010e0000000000
10010015         10000002000209080201a90000000000090830010e0000000000
10010016         10000002000209080201aa0000000000090830010e0000000000
10010017         10000002000209080201ab0000000000090830010e0000000000
10010018         10000002000209080201ac0000000000090830010e0000000000
10010019         10000002000209080201ae0000000000090830010e0000000000
1001001a         10000002000209080201af0000000000090830010e0000000000
1001001b         10000002000209080201b00000000000090830010e0000000000
1001001c         10000002000209080201b10000000000090830010e0000000000
1001001d         10000002000209080201b20000000000090830010e0000000000
1001001e         10000002000209080209090000000000090830010e0000000000
ffffff01         0b0800000322f19000000000
ffffff02         18080000142ef190ffffffffffffffffffffffffffffffffff
ffffff03         18080000142ef102ffffffffffffffffffffffffffffffffff
ffffff04         0b0800000322002000000000
ffffff11         068200001a906d
ffffff12         179300003b90202020202020202020202020202020202011
ffff0101         0b08ffff0227010000000000
ffff0102         0b08ffff0427020000000000
ffff0103         0b08ffff0627020000000000
ffff0104         0b08ffff0227210000000000
ffff0105         0b08ffff0427220000000000
ffff0001         0b08ffff0210030000000000
ffff0002         0682ffff108300
ffff0003         0b08ffff0210010000000000
