0010002f         0908e200052f02420301
0010002e         0908e200052f02420303
0010002d         0908e200052f02410300
0010002c         0908e200052f02410301
0010002b         0908e200052f02410303
0010002a         0908e200052f02400300
00100029         0908e200052f02400301
00100028         0908e200052f02400303
00100027         1000000200020908032202350000000009083000000000000000
00100026         1000000200020908032202340000000009083000000000000000
00100025         1000000200020908032202330000000009083000000000000000
00100024         1000000200020908032202320000000009083000000000000000
00100023         1000000200020908032202310000000009083000000000000000
00100022         1000000200020908032202300000000009083000000000000000
00100021         10000002000209080322022f0000000009083000000000000000
00100020         10000002000209080322022e0000000009083000000000000000
0010003a         0908e200052f02450300
00100039         0908e200052f02450301
00100038         0908e200052f02450303
00100037         0908e200052f02440300
00100036         0908e200052f02440301
00100035         0908e200052f02440365
00100034         0908e200052f024403c9
00100033         0908e200052f02430300
00100032         0908e200052f02430301
00100031         0908e200052f02430303
00100030         0908e200052f02420300
0010000f         10000002000209080322f1870000000009083000000000000000
0010000e         10000002000209080322f1970000000009083000000000000000
0010000d         10000002000209080322f1950000000009083000000000000000
0010000c         10000002000209080322f1930000000009083000000000000000
0010000b         10000002000209080322f1900000000009083000000000000000
0010000a         10000002000209080414ffffff00000009083000000000000000
00100009         1000000200020908031902080000000009083000000000000000
00100008         1000000200020908031902010000000009083000000000000000
00100007         1000000200020908061904000000030009083000000000000000
00100006         1000000200020908061904000000020009083000000000000000
00100005         1000000200020908061904000000010009083000000000000000
00100004         1000000200020908031902090000000009083000000000000000
00100003         0102000000000908023e000000000000
00100002         0102a0ff03e80908023e000000000000
00100001         1000000200020908021001000000000009083000000000000000
0010001f         10000002000209080322022d0000000009083000000000000000
0010001e         10000002000209080322022c0000000009083000000000000000
0010001d         10000002000209080322022b0000000009083000000000000000
0010001c         10000002000209080322022a0000000009083000000000000000
0010001b         1000000200020908032202290000000009083000000000000000
0010001a         1000000200020908032202280000000009083000000000000000
00100019         1000000200020908032202270000000009083000000000000000
00100018         1000000200020908032202260000000009083000000000000000
00100017         1000000200020908032202250000000009083000000000000000
00100016         1000000200020908032202240000000009083000000000000000
00100015         1000000200020908032202230000000009083000000000000000
00100014         1000000200020908032202220000000009083000000000000000
00100013         1000000200020908032202210000000009083000000000000000
00100012         1000000200020908032202200000000009083000000000000000
00100011         10000002000209080322f18c0000000009083000000000000000
00100010         10000002000209080322f18a0000000009083000000000000000
00010020         1000000200020908032202090000000009083000000000000000
0001000f         10000002000209080322f18a0000000009083000000000000000
0001000e         10000002000209080322f1870000000009083000000000000000
0001000d         10000002000209080322f1860000000009083000000000000000
0001000c         10000002000209080322f1820000000009083000000000000000
0001000b         10000002000209080322f1800000000009083000000000000000
0001000a         10000002000209080414ffffff00000009083000000000000000
00010009         1000000200020908031902080000000009083000000000000000
00010008         1000000200020908031902010000000009083000000000000000
00010007         1000000200020908061906000000020009083000000000000000
00010006         1000000200020908061906000000010009083000000000000000
00010005         1000000200020908061904000000010009083000000000000000
00010004         1000000200020908031902090000000009083000000000000000
00010003         0102000000000908023e000000000000
00010002         0102a0ff03e80908023e000000000000
00010001         1000000200020908021001000000000009083000000000000000
0001001f         1000000200020908032202080000000009083000000000000000
0001001e         1000000200020908032202070000000009083000000000000000
0001001d         1000000200020908032202060000000009083000000000000000
0001001c         1000000200020908032202050000000009083000000000000000
0001001b         1000000200020908032202040000000009083000000000000000
0001001a         1000000200020908032202030000000009083000000000000000
00010019         1000000200020908032202020000000009083000000000000000
00010018         1000000200020908032202010000000009083000000000000000
00010017         1000000200020908032202000000000009083000000000000000
00010016         10000002000209080322f19b0000000009083000000000000000
00010015         10000002000209080322f1950000000009083000000000000000
00010014         10000002000209080322f1940000000009083000000000000000
00010013         10000002000209080322f1930000000009083000000000000000
00010012         10000002000209080322f1920000000009083000000000000000
00010011         10000002000209080322f1910000000009083000000000000000
00010010         10000002000209080322f1900000000009083000000000000000
0003002f         1000000200020908032206420000000009083000000000000000
0003002e         1000000200020908032206410000000009083000000000000000
0003002d         1000000200020908032206400000000009083000000000000000
0003002c         1000000200020908032206390000000009083000000000000000
0003002b         1000000200020908032206380000000009083000000000000000
0003002a         1000000200020908032206370000000009083000000000000000
00030029         1000000200020908032206360000000009083000000000000000
00030028         1000000200020908032206350000000009083000000000000000
00030027         1000000200020908032206340000000009083000000000000000
00030026         1000000200020908032206330000000009083000000000000000
00030025         1000000200020908032206320000000009083000000000000000
00030024         1000000200020908032206310000000009083000000000000000
00030023         1000000200020908032206300000000009083000000000000000
00030022         1000000200020908032206290000000009083000000000000000
00030021         1000000200020908032206280000000009083000000000000000
00030020         1000000200020908032206270000000009083000000000000000
0003003e         0808e280042f30b400
0003003d         0908e280052f30b40300
0003003c         0908e280052f30b403ff
0003003b         0808e280042f30b300
0003003a         0908e280052f30b30300
00030039         0908e280052f30b303ff
00030038         0808e280042f30b200
00030037         0908e280052f30b20300
00030036         0908e280052f30b203ff
00030035         0808e280042f30b100
00030034         0908e280052f30b10300
00030033         0908e280052f30b103ff
00030032         0808e280042f30b000
00030031         0908e280052f30b00300
00030030         0908e280052f30b003ff
0003000f         1000000200020908032206100000000009083000000000000000
0003000e         1000000200020908032206090000000009083000000000000000
0003000d         1000000200020908032206080000000009083000000000000000
0003000c         1000000200020908032206070000000009083000000000000000
0003000b         1000000200020908032206060000000009083000000000000000
0003000a         1000000200020908032206050000000009083000000000000000
00030009         1000000200020908032206040000000009083000000000000000
00030008         1000000200020908032206030000000009083000000000000000
00030007         1000000200020908032206020000000009083000000000000000
00030006         1000000200020908032206010000000009083000000000000000
00030005         1000000200020908032206000000000009083000000000000000
00030004         10000002000209080322f1890000000009083000000000000000
00030003         10000002000209080322f0890000000009083000000000000000
00030002         1000000200020908061906000000100009083000000000000000
00030001         1000000200020908061906000000050009083000000000000000
0003001f         1000000200020908032206260000000009083000000000000000
0003001e         1000000200020908032206250000000009083000000000000000
0003001d         1000000200020908032206240000000009083000000000000000
0003001c         1000000200020908032206230000000009083000000000000000
0003001b         1000000200020908032206220000000009083000000000000000
0003001a         1000000200020908032206210000000009083000000000000000
00030019         1000000200020908032206200000000009083000000000000000
00030018         1000000200020908032206190000000009083000000000000000
00030017         1000000200020908032206180000000009083000000000000000
00030016         1000000200020908032206170000000009083000000000000000
00030015         1000000200020908032206160000000009083000000000000000
00030014         1000000200020908032206150000000009083000000000000000
00030013         1000000200020908032206140000000009083000000000000000
00030012         1000000200020908032206130000000009083000000000000000
00030011         1000000200020908032206120000000009083000000000000000
00030010         1000000200020908032206110000000009083000000000000000
00020004         10000002000209080322f0100000000009083000000000000000
00020003         10000002000209080322f1970000000009083000000000000000
00020002         10000002000209080322f18c0000000009083000000000000000
00020001         1000000200020908061904000000000009083000000000000000
00050003         0a08e640062ff020030100
00050002         0a08e640062ff020030101
00050001         10000002000209080322e1010000000009083000000000000000
0004000f         0a08ec20062f2401032000
0004000e         0a08ec20062f2401031000
0004000d         0a08ec20062f2401030080
0004000c         0a08ec20062f2401030040
0004000b         0a08ec20062f2401030020
0004000a         0a08ec20062f2401030010
00040009         0a08ec20062f2401030008
00040008         0a08ec20062f2401030000
00040007         0a08ec20062f2401030004
00040006         0808ec20042f240100
00040005         0a08ec20062f2401030002
00040004         0a08ec20062f2401030001
00040003         10000002000209080322f19d0000000009083000000000000000
00040002         10000002000209080322f1980000000009083000000000000000
00040001         10000002000209080322f18b0000000009083000000000000000
00040015         0a08ec20062f2401038000
00040014         0a08ec20062f2401034000
00040013         0a08ec20062f2401030200
00040012         0a08ec20062f2401030100
00040011         0a08ec20062f2401030800
00040010         0a08ec20062f2401030400
00060006         10000002000209080322f1f40000000009083000000000000000
00060005         10000002000209080322f1f30000000009083000000000000000
00060004         10000002000209080322f1f20000000009083000000000000000
00060003         10000002000209080322f1f10000000009083000000000000000
00060002         10000002000209080322f1f00000000009083000000000000000
00060001         10000002000209080322f0910000000009083000000000000000
00090003         0808ec00042f001000
00090002         0908ec00052f00100301
00090001         0908ec00052f00100300
00080005         1000000200020908032232080000000009083000000000000000
00080004         1000000200020908032232070000000009083000000000000000
00080003         1000000200020908032232060000000009083000000000000000
00080002         1000000200020908032232050000000009083000000000000000
00080001         10000002000209080322f10a0000000009083000000000000000
000b0009         1000000200020908032230070000000009083000000000000000
000b0008         1000000200020908032230060000000009083000000000000000
000b0007         1000000200020908032230050000000009083000000000000000
000b0006         1000000200020908032230040000000009083000000000000000
000b0005         1000000200020908032230030000000009083000000000000000
000b0004         1000000200020908032230020000000009083000000000000000
000b0003         1000000200020908032230010000000009083000000000000000
000b0002         1000000200020908032230000000000009083000000000000000
000b0001         1000000200020908061904000000ff0009083000000000000000
000a000f         1000000200020908032204140000000009083000000000000000
