57810001         0808e440042ef11200
57850001         1000000200020908032222000000000009083000010000000000
578a0001         1000000200020908032211000000000009083000010000000000
578d0006         1000000200020908032223850000000009083000010000000000
578d0005         1000000200020908032223840000000009083000010000000000
578d0004         1000000200020908032223830000000009083000010000000000
578d0003         1000000200020908032223820000000009083000010000000000
578d0002         1000000200020908032223810000000009083000010000000000
578d0001         1000000200020908032223800000000009083000010000000000
57630005         0e08e2c00a2ef11100000000000000
57630004         0708e2c00322f111
57630003         0e08e2c00a2ef11000000000000000
57630002         0708e2c00322f110
57630001         10000001000009080627029594893c00
57620016         0908e200052e0a190000
57620015         0708e20003220a19
57620014         0e08e2000a2ef11100000000000000
57620013         0708e2000322f111
57620012         0e08e2000a2ef11000000000000000
57620011         0708e2000322f110
57620010         100000020002090803220a190000000009083000010000000000
57620007         10000002000209080322cf170000000009083000010000000000
57620006         10000002000209080322cf160000000009083000010000000000
57620005         10000002000209080322cf150000000009083000010000000000
57620004         10000002000209080322cf140000000009083000010000000000
57620003         10000002000209080322cf130000000009083000010000000000
57620002         10000002000209080322cf120000000009083000010000000000
57620001         10000001000009080627026b7c21ea00
5762000f         100000020002090803220a180000000009083000010000000000
5762000e         100000020002090803220a170000000009083000010000000000
5762000d         100000020002090803220a160000000009083000010000000000
5762000c         100000020002090803220a150000000009083000010000000000
5762000b         100000020002090803220a140000000009083000010000000000
5762000a         100000020002090803220a120000000009083000010000000000
57620009         100000020002090803220a110000000009083000010000000000
57620008         100000020002090803220a100000000009083000010000000000
57610057         0708e42003221901
57610056         0808e420042ef11500
57610055         0708e4200322f115
57610054         0e08e4200a2ef11100000000000000
57610053         0708e4200322f111
57610052         0e08e4200a2ef11000000000000000
57610051         0708e4200322f110
57610050         0808e420042f330000
57610059         0608e420021101
57610058         0b08e420072e190100000000
57610047         1408e420102f330003000000000004000000000001
57610046         1408e420102f330003000000000008000000000001
57610045         1408e420102f330003000000000010000000000001
57610044         1408e420102f330003000000000000000000000001
57610043         1408e420102f330003000000000080000000000001
57610042         1408e420102f330003000000000060000000000001
57610041         1408e420102f330003000000000040000000000001
57610040         1408e420102f330003000000000020000000000001
5761004f         0a08e420062f3304030401
5761004e         0a08e420062f3304030301
5761004d         0a08e420062f3304030201
5761004c         0a08e420062f3304030101
5761004b         0a08e420062f3303030001
5761004a         0a08e420062f3303030101
57610049         1408e420102f330003000000000002000000000001
57610048         1408e420102f330003000000000001000000000001
57610017         1408e420102f330003200000000000010000000000
57610016         1408e420102f330003400000000000010000000000
57610015         1408e420102f330003000000000000010000000000
57610014         1408e420102f330003800000000000010000000000
57610013         1000000200020908032219110000000009083000010000000000
57610012         1000000200020908032219100000000009083000010000000000
57610011         10000002000209080322190f0000000009083000010000000000
57610010         10000002000209080322190e0000000009083000010000000000
5761001f         1408e420102f330003002000000000000100000000
5761001e         1408e420102f330003004000000000000100000000
5761001d         1408e420102f330003000000000000000100000000
5761001c         1408e420102f330003008000000000000100000000
5761001b         1408e420102f330003020000000000010000000000
5761001a         1408e420102f330003040000000000010000000000
57610019         1408e420102f330003080000000000010000000000
57610018         1408e420102f330003100000000000010000000000
57610007         1000000200020908032219050000000009083000010000000000
57610006         1000000200020908032219040000000009083000010000000000
57610005         1000000200020908032219030000000009083000010000000000
57610004         1000000200020908032219020000000009083000010000000000
57610003         1000000200020908032219010000000009083000010000000000
57610002         1000000200020908032219000000000009083000010000000000
57610001         100000010000090806270214882dec00
5761000f         10000002000209080322190d0000000009083000010000000000
5761000e         10000002000209080322190c0000000009083000010000000000
5761000d         10000002000209080322190b0000000009083000010000000000
5761000c         10000002000209080322190a0000000009083000010000000000
5761000b         1000000200020908032219090000000009083000010000000000
5761000a         1000000200020908032219080000000009083000010000000000
57610009         1000000200020908032219070000000009083000010000000000
57610008         1000000200020908032219060000000009083000010000000000
57610037         1408e420102f330003000000002000000000000100
57610036         1408e420102f330003000000010000000000010000
57610035         1408e420102f330003000000020000000000010000
57610034         1408e420102f330003000000040000000000010000
57610033         1408e420102f330003000000080000000000010000
57610032         1408e420102f330003000000100000000000010000
57610031         1408e420102f330003000000000000000000010000
57610030         1408e420102f330003000000200000000000010000
5761003f         1408e420102f330003000000000100000000000100
5761003e         1408e420102f330003000000000600000000000100
5761003d         1408e420102f330003000000000400000000000100
5761003c         1408e420102f330003000000000200000000000100
5761003b         1408e420102f330003000000001000000000000100
5761003a         1408e420102f330003000000000000000000000100
57610039         1408e420102f330003000000006000000000000100
57610038         1408e420102f330003000000004000000000000100
57610027         1408e420102f330003000020000000000001000000
57610026         1408e420102f330003000040000000000001000000
57610025         1408e420102f330003000000000000000001000000
57610024         1408e420102f330003000080000000000001000000
57610023         1408e420102f330003000100000000000100000000
57610022         1408e420102f330003000200000000000100000000
57610021         1408e420102f330003000400000000000100000000
57610020         1408e420102f330003001000000000000100000000
5761002f         1408e420102f330003000000400000000001000000
5761002e         1408e420102f330003000000800000000001000000
5761002d         1408e420102f330003000001000000000001000000
5761002c         0b08e420072f330000000000
5761002b         1408e420102f33000300000c000000000001000000
5761002a         1408e420102f330003000008000000000001000000
57610029         1408e420102f330003000004000000000001000000
57610028         1408e420102f330003000010000000000001000000
57600017         0708e4400322f110
57600016         0a08e440062f3336030001
57600015         0a08e440062f3336030101
57600014         0a08e440062f3335030001
57600013         0a08e440062f3335030101
57600012         0a08e440062f3334030001
57600011         0a08e440062f3334030101
57600010         0a08e440062f3333030001
5760001d         0808e440042ef11500
5760001c         0708e4400322f115
5760001b         0708e4400322f112
5760001a         0e08e4400a2ef11100000000000000
57600019         0708e4400322f111
57600018         0e08e4400a2ef11000000000000000
57600007         0a08e440062f3337030101
57600006         0a08e440062f3331030001
57600005         0a08e440062f3331030101
57600004         0a08e440062f3330030001
57600003         0a08e440062f3330030101
57600002         10000002000209080322f1620000000009083000010000000000
57600001         1000000100000908062702526ead8700
5760000f         0a08e440062f3333030101
5760000e         0a08e440062f3332030000
5760000d         0a08e440062f3332030101
5760000c         0a08e440062f3339030001
5760000b         0a08e440062f3339030101
5760000a         0a08e440062f3338030001
57600009         0a08e440062f3338030101
57600008         0a08e440062f3337030001
57670017         1000000200020908032214260000000009083000010000000000
57670016         1000000200020908032214250000000009083000010000000000
57670015         1000000200020908032214240000000009083000010000000000
57670014         1000000200020908032214230000000009083000010000000000
57670013         1000000200020908032214220000000009083000010000000000
57670012         1000000200020908032214210000000009083000010000000000
57670011         1000000200020908032214200000000009083000010000000000
57670010         1000000200020908032214190000000009083000010000000000
5767001f         0808e2400431015254
5767001e         0e08e2400a2ef11100000000000000
5767001d         0708e2400322f111
5767001c         0e08e2400a2ef11000000000000000
5767001b         0708e2400322f110
5767001a         1000000200020908032214290000000009083000010000000000
57670019         1000000200020908032214280000000009083000010000000000
57670018         1000000200020908032214270000000009083000010000000000
57670007         1000000200020908032214100000000009083000010000000000
57670006         10000002000209080322f1990000000009083000010000000000
57670005         1000000200020908032214500000000009083000010000000000
57670004         1000000200020908032214010000000009083000010000000000
57670003         1000000200020908032214000000000009083000010000000000
57670002         1000000200020908031902af0000000009083000010000000000
57670001         10000001000009080627020abf473b00
5767000f         1000000200020908032214180000000009083000010000000000
5767000e         1000000200020908032214170000000009083000010000000000
5767000d         1000000200020908032214160000000009083000010000000000
5767000c         1000000200020908032214150000000009083000010000000000
5767000b         1000000200020908032214140000000009083000010000000000
5767000a         1000000200020908032214130000000009083000010000000000
57670009         1000000200020908032214120000000009083000010000000000
57670008         1000000200020908032214110000000009083000010000000000
57670022         0808e2400431035255
57670021         0808e2400431015255
57670020         0808e2400431035254
57650006         0808e2600431015270
57650005         0e08e2600a2ef11100000000000000
57650004         0708e2600322f111
57650003         0e08e2600a2ef11000000000000000
57650002         0708e2600322f110
57650001         1000000100000908062702fc6f7f3100
57640017         10000002000209080322cf950000000009083000010000000000
57640016         10000002000209080322cf940000000009083000010000000000
57640015         10000002000209080322cf930000000009083000010000000000
57640014         10000002000209080322cf920000000009083000010000000000
57640013         10000002000209080322cf910000000009083000010000000000
57640012         10000002000209080322cf900000000009083000010000000000
57640011         10000002000209080322cf3f0000000009083000010000000000
57640010         10000002000209080322cf3e0000000009083000010000000000
5764001f         0708e0a00322f111
5764001e         0e08e0a00a2ef11000000000000000
5764001d         0708e0a00322f110
5764001c         10000002000209080322cf9a0000000009083000010000000000
5764001b         10000002000209080322cf990000000009083000010000000000
5764001a         10000002000209080322cf980000000009083000010000000000
57640019         10000002000209080322cf970000000009083000010000000000
