27050022         0808e340042f470200
27050023         0908e340052f47030300
27050020         0908e340052f47020300
27050021         0908e340052f47020301
27050026         0908e340052f47040300
27050027         0908e340052f47040301
27050024         0908e340052f47030301
27050025         0808e340042f470300
2705002a         00e340022701
2705002b         00e340062702
27050028         0808e340042f470400
27050029         00e340021003
27050012         1000000200020908032217040000000009083000000000000000
27050013         1000000200020908032217050000000009083000000000000000
27050010         1000000200020908032217020000000009083000000000000000
27050011         1000000200020908032217030000000009083000000000000000
27050016         1000000200020908032217080000000009083000000000000000
27050017         1000000200020908032217090000000009083000000000000000
27050014         1000000200020908032217060000000009083000000000000000
27050015         1000000200020908032217070000000009083000000000000000
2705001a         0908e340052f47000300
2705001b         0908e340052f47000301
27050018         10000002000209080322170a0000000009083000000000000000
27050019         10000002000209080322170b0000000009083000000000000000
2705001e         0908e340052f47010301
2705001f         0808e340042f470100
2705001c         0808e340042f470000
2705001d         0908e340052f47010300
27050002         0102a0ff07d00908023e000000000000
27050003         0102000000000908023e000000000000
27050001         10000001000009080210010000000000
27050006         10000002000209080414ffffff00000009083000000000000000
27050007         10000002000209080322f1870000000009083000000000000000
27050004         1000000200020908031902010000000009083000000000000000
27050005         1000000200020908031902080000000009083000000000000000
2705000a         10000002000209080322f1900000000009083000000000000000
2705000b         10000002000209080322f1930000000009083000000000000000
27050008         10000002000209080322f18a0000000009083000000000000000
27050009         10000002000209080322f18c0000000009083000000000000000
2705000e         1000000200020908032217000000000009083000000000000000
2705000f         1000000200020908032217010000000009083000000000000000
2705000c         10000002000209080322f1950000000009083000000000000000
2705000d         10000002000209080322f1970000000009083000000000000000
27040032         1000000200020908032218580000000009083000000000000000
27040033         1000000200020908032218590000000009083000000000000000
27040030         1000000200020908032218560000000009083000000000000000
27040031         1000000200020908032218570000000009083000000000000000
27040036         1000000200020908032218620000000009083000000000000000
27040037         1000000200020908032218630000000009083000000000000000
27040034         1000000200020908032218600000000009083000000000000000
27040035         1000000200020908032218610000000009083000000000000000
2704003a         1000000200020908032218660000000009083000000000000000
2704003b         1000000200020908032218670000000009083000000000000000
27040038         1000000200020908032218640000000009083000000000000000
27040039         1000000200020908032218650000000009083000000000000000
2704003e         1000000200020908032218700000000009083000000000000000
2704003f         1000000200020908032218710000000009083000000000000000
2704003c         1000000200020908032218680000000009083000000000000000
2704003d         1000000200020908032218690000000009083000000000000000
27040022         1000000200020908032218420000000009083000000000000000
27040023         1000000200020908032218430000000009083000000000000000
27040020         1000000200020908032218400000000009083000000000000000
27040021         1000000200020908032218410000000009083000000000000000
27040026         1000000200020908032218460000000009083000000000000000
27040027         1000000200020908032218470000000009083000000000000000
27040024         1000000200020908032218440000000009083000000000000000
