67045001         088428f11800ff00b4
67045002         078328f117407265
67047001         068228f1210900
67047002         068228f1211000
67047003         068228f1211100
67047004         068228f1210a00
67047005         068228f110832e
67047006         068228f11a8035
67047007         098528f13102010100d3
67047008         098528f13102010200d4
67047009         098528f13102010300d9
6704700a         098528f13102010400da
6704700b         078328f114ff00af
67046001         078328f13b0200d9
67046002         078328f13b02aa83
67046003         078328f13b02eec7
67046004         078328f13b0300da
67046005         078328f13b03aa84
67046006         078328f13b03eec8
67046007         068228f110832e
58020001         02014000000119198128f181ff
58020002         0101800005dc8128f13eff
58020003         0202400000008128f182ff
58020004         0101000000008128f13eff
58020005         0202400000008228f1180000
58020006         0202400000008428f114ffffff00
58020007         0202400000008228f11a8000
58020008         0202400000008228f1210400
58035201         0b08e600052efd021a120000
58035101         0b08e600062efd0120042300
58035001         0c08e600082efd004167313233
58030020         10000002000209080322022b0000000009083000000000000000
58030021         10000002000209080322022c0000000009083000000000000000
58030022         10000002000209080322022d0000000009083000000000000000
58030023         10000002000209080322022e0000000009083000000000000000
58030024         10000002000209080322022f0000000009083000000000000000
58030025         1000000200020908032202300000000009083000000000000000
58030001         0102a0ff05dc0908023e800000000000
58030002         0102000000000908023e800000000000
58030003         1000000200020908032202310000000009083000000000000000
58030004         1000000200020908032202320000000009083000000000000000
58030005         1000000200020908032202330000000009083000000000000000
58030006         1000000200020908032202360000000009083000000000000000
58030007         1000000200020908032202370000000009083000000000000000
58030008         1000000200020908032202380000000009083000000000000000
58030009         10000002000209080322fd000000000009083000000000000000
5803000a         10000002000209080322fd010000000009083000000000000000
5803000b         10000002000209080322fd020000000009083000000000000000
5803000c         1000000200020908032202000000000009083000000000000000
5803000d         1000000200020908032202010000000009083000000000000000
5803000e         1000000200020908032202170000000009083000000000000000
5803000f         1000000200020908032202180000000009083000000000000000
58030010         1000000200020908032202190000000009083000000000000000
58030011         10000002000209080322021b0000000009083000000000000000
58030012         10000002000209080322021c0000000009083000000000000000
58030013         10000002000209080322021d0000000009083000000000000000
58030014         10000002000209080322021e0000000009083000000000000000
58030015         10000002000209080322021f0000000009083000000000000000
58030016         1000000200020908032202200000000009083000000000000000
58030017         1000000200020908032202210000000009083000000000000000
58030018         1000000200020908032202220000000009083000000000000000
58030019         1000000200020908032202230000000009083000000000000000
5803001a         1000000200020908032202240000000009083000000000000000
5803001b         1000000200020908032202250000000009083000000000000000
5803001c         1000000200020908032202260000000009083000000000000000
5803001d         1000000200020908032202270000000009083000000000000000
5803001e         1000000200020908032202280000000009083000000000000000
5803001f         10000002000209080322022a0000000009083000000000000000
58000001         1000000200020908021003000000000009083000000000000000
58000002         0102a0ff05dc0908023e000000000000
58000003         0102000000000908023e000000000000
58000004         1000000200020908031902090000000009083000000000000000
58000005         10000002000209080414ffffff00000009083000000000000000
58000006         10000002000209080322f1900000000009083000000000000000
58010001         1000000200020908021902000000000009083000000000000000
58010002         10000002000209080322f1830000000009083000000000000000
58010003         10000002000209080322f18a0000000009083000000000000000
58010004         10000002000209080322f1910000000009083000000000000000
58010005         10000002000209080322f1950000000009083000000000000000
58010006         10000002000209080322f1990000000009083000000000000000
58010007         1000000200020908032202020000000009083000000000000000
58010008         1000000200020908032202030000000009083000000000000000
58010009         1000000200020908032202040000000009083000000000000000
5801000a         1000000200020908032202050000000009083000000000000000
5801000b         1000000200020908032202060000000009083000000000000000
5801000c         1000000200020908032202070000000009083000000000000000
5801000d         1000000200020908032202080000000009083000000000000000
5801000e         1000000200020908032202090000000009083000000000000000
5801000f         10000002000209080322020a0000000009083000000000000000
